sum;cargo;mes
29638112;COORDINADOR DE UDES;agosto
11269260;COORDINADOR DOCENTE;julio
9611028;COORDINADOR DOCENTE;agosto
12969260;COORDINADOR DOCENTE;junio
4799481;Coordinador Escuela Empresa;agosto
4799481;Coordinador Escuela Empresa;julio
4799481;Coordinador Escuela Empresa;junio
152848051;COORDINADOR PEDAGOGICO;julio
195034369;COORDINADOR PEDAGOGICO;agosto
145096751;COORDINADOR PEDAGOGICO;junio
180607376;COORDINADOR PEDAGOGICO I;agosto
183616160;COORDINADOR PEDAGOGICO I;junio
177949696;COORDINADOR PEDAGOGICO I;julio
7221700;COORDINADOR PEDAGOGICO II;junio
7221700;COORDINADOR PEDAGOGICO II;julio
7221700;COORDINADOR PEDAGOGICO II;agosto
1658232;COORDINADOR PEDAGOGICO III;agosto
1658232;COORDINADOR PEDAGOGICO III;junio
1658232;COORDINADOR PEDAGOGICO III;julio
18349320;Coordinador Psicopedagogico;julio
18349320;Coordinador Psicopedagogico;agosto
18349320;Coordinador Psicopedagogico;junio
30358270;Coordinador Técnico;junio
30358270;Coordinador Técnico;agosto
30358270;Coordinador Técnico;julio
183312803;COORDINADOR TECNICO I;agosto
185062803;COORDINADOR TECNICO I;junio
185062803;COORDINADOR TECNICO I;julio
18218536;COORDINADOR TECNICO II;julio
18218536;COORDINADOR TECNICO II;agosto
18218536;COORDINADOR TECNICO II;junio
3024479482;Coordinador Técnico Pedagógico;julio
3002387542;Coordinador Técnico Pedagógico;agosto
3032788930;Coordinador Técnico Pedagógico;junio
347212306;DIRECTOR;julio
347212306;DIRECTOR;junio
350313119;DIRECTOR;agosto
1090947;Director/a Docente de Centro de Educación Media para Personas Jóvenes y Adultas;agosto
2560974724;DIRECTOR DE AREA;junio
2554093724;DIRECTOR DE AREA;julio
2552435492;DIRECTOR DE AREA;agosto
50209542;Director de Centros (Recursos, Modelos y Formación Profesional) (Educación Permanente);agosto
51867774;Director de Centros (Recursos, Modelos y Formación Profesional) (Educación Permanente);julio
51867774;Director de Centros (Recursos, Modelos y Formación Profesional) (Educación Permanente);junio
1658232;Director de E.E.B. (3º ciclo);junio
1658232;Director de E.E.B. (3º ciclo);agosto
1658232;Director de E.E.B. (3º ciclo);julio
138684884;Director de Instituciones de Educación Media;agosto
138684884;Director de Instituciones de Educación Media;julio
138684884;Director de Instituciones de Educación Media;junio
2018000;Director de Turno de Instituciones de Enseñanza Media Diversificada;agosto
2018000;Director de Turno de Instituciones de Enseñanza Media Diversificada;junio
2018000;Director de Turno de Instituciones de Enseñanza Media Diversificada;julio
55411691;DIRECTOR GENERAL (ADMINISTRACION CENTRAL);julio
55411691;DIRECTOR GENERAL (ADMINISTRACION CENTRAL);agosto
62197451;DIRECTOR GENERAL (ADMINISTRACION CENTRAL);junio
81795000;DIRECTOR GRAL. I;junio
81795000;DIRECTOR GRAL. I;agosto
81795000;DIRECTOR GRAL. I;julio
12229200;DIRECTOR GRAL. II;junio
12229200;DIRECTOR GRAL. II;agosto
12229200;DIRECTOR GRAL. II;julio
5058727829;DIRECTOR I;agosto
5078858989;DIRECTOR I;julio
5108271829;DIRECTOR I;junio
5460742218;DIRECTOR II;julio
5491835450;DIRECTOR II;junio
5439792450;DIRECTOR II;agosto
20101800;DIRECTOR PEDAGOGICO I;agosto
20101800;DIRECTOR PEDAGOGICO I;junio
20101800;DIRECTOR PEDAGOGICO I;julio
13249000;DIRECTOR PEDAGOGICO II;julio
15898800;DIRECTOR PEDAGOGICO II;agosto
13249000;DIRECTOR PEDAGOGICO II;junio
56040483;DIRECTOR PEDAGOGICO III;junio
54339756;DIRECTOR PEDAGOGICO III;julio
54339756;DIRECTOR PEDAGOGICO III;agosto
8425690;DISEÑADOR GRAFICO;julio
8425690;DISEÑADOR GRAFICO;junio
8425690;DISEÑADOR GRAFICO;agosto
955665;Diseño, Proyecto y Presupuesto y Análisis de Productos;junio
955665;Diseño, Proyecto y Presupuesto y Análisis de Productos;julio
955665;Diseño, Proyecto y Presupuesto y Análisis de Productos;agosto
2871177;Diseño y Elaboración del Proyecto - Economía Ambiental;agosto
2871177;Diseño y Elaboración del Proyecto - Economía Ambiental;julio
2871177;Diseño y Elaboración del Proyecto - Economía Ambiental;junio
1349831237;Docente de Servicio de Apoyo;julio
1356464165;Docente de Servicio de Apoyo;junio
1334907149;Docente de Servicio de Apoyo;agosto
212864240;Docente Tecnico;julio
212864240;Docente Tecnico;junio
219497168;Docente Tecnico;agosto
311842084;DOCENTE TECNICO I;julio
312587620;DOCENTE TECNICO I;agosto
313500316;DOCENTE TECNICO I;junio
71303976;DOCENTE TECNICO II;agosto
72962208;DOCENTE TECNICO II;julio
72962208;DOCENTE TECNICO II;junio
79205754;DOCENTE TECNICO III;agosto
82613986;DOCENTE TECNICO III;junio
82613986;DOCENTE TECNICO III;julio
4974696;DOCENTE TECNICO NIVEL CENTRAL;junio
4974696;DOCENTE TECNICO NIVEL CENTRAL;agosto
4974696;DOCENTE TECNICO NIVEL CENTRAL;julio
3966132;DOCTOR;julio
3966132;DOCTOR;junio
3966132;DOCTOR;agosto
15275147;Economía Agropecuaría y Administración Rural;julio
15342147;Economía Agropecuaría y Administración Rural;agosto
14807933;Economía Agropecuaría y Administración Rural;junio
60257944;Educador Comunitario;julio
60257944;Educador Comunitario;junio
58599712;Educador Comunitario;agosto
2445500;Educador de Adulto 4to. Ciclo;agosto
3191592645;Educador de Adultos;agosto
3212806959;Educador de Adultos;julio
3221578158;Educador de Adultos;junio
13265856;Educador de Aula Hospitalaria;julio
13265856;Educador de Aula Hospitalaria;agosto
13265856;Educador de Aula Hospitalaria;junio
4974696;Educador de Servicio de Atención Temprana;julio
4974696;Educador de Servicio de Atención Temprana;junio
4974696;Educador de Servicio de Atención Temprana;agosto
3902814;ENCARGADO DE ACADEMIAS;agosto
3902814;ENCARGADO DE ACADEMIAS;junio
3902814;ENCARGADO DE ACADEMIAS;julio
12964875;ENCARGADO DE ARCHIVO;julio
16281339;ENCARGADO DE ARCHIVO;agosto
11306643;ENCARGADO DE ARCHIVO;junio
24672146;ENCARGADO DE BIENES Y PATRIMONIO;julio
24672146;ENCARGADO DE BIENES Y PATRIMONIO;agosto
24672146;ENCARGADO DE BIENES Y PATRIMONIO;junio
3316464;ENCARGADO DE DEPOSITO;julio
3316464;ENCARGADO DE DEPOSITO;agosto
3316464;ENCARGADO DE DEPOSITO;junio
1229775003;ENCARGADO DE DESPACHO;agosto
1230744468;ENCARGADO DE DESPACHO;julio
1224193057;ENCARGADO DE DESPACHO;junio
15176890;ENCARGADO DE DESPACHO (DIRECCION DE NIVEL);agosto
15176890;ENCARGADO DE DESPACHO (DIRECCION DE NIVEL);julio
15176890;ENCARGADO DE DESPACHO (DIRECCION DE NIVEL);junio
16893698;ENCARGADO DE DESPACHO (DIRECCION GENERAL);julio
14585798;ENCARGADO DE DESPACHO (DIRECCION GENERAL);agosto
16893698;ENCARGADO DE DESPACHO (DIRECCION GENERAL);junio
41832884;ENCARGADO DE DESPACHO (JEFATURA);junio
39655384;ENCARGADO DE DESPACHO (JEFATURA);agosto
39655384;ENCARGADO DE DESPACHO (JEFATURA);julio
181185681;ENCARGADO DE DESPACHO SUPERVISOR;junio
183296181;ENCARGADO DE DESPACHO SUPERVISOR;agosto
183296181;ENCARGADO DE DESPACHO SUPERVISOR;julio
105833595;ENCARGADO DE LABORATORIO;junio
106362562;ENCARGADO DE LABORATORIO;agosto
108108763;ENCARGADO DE LABORATORIO;julio
30457693;ENCARGADO DE LABORATORIO DE INFORMATICA;julio
30457693;ENCARGADO DE LABORATORIO DE INFORMATICA;junio
30457693;ENCARGADO DE LABORATORIO DE INFORMATICA;agosto
15044218;ENC. BANDALIZA/ DIRECTOR BANDA MUSICOS;agosto
15044218;ENC. BANDALIZA/ DIRECTOR BANDA MUSICOS;julio
16734218;ENC. BANDALIZA/ DIRECTOR BANDA MUSICOS;junio
23189801;Enfermería y Práctica;agosto
23189801;Enfermería y Práctica;junio
23189801;Enfermería y Práctica;julio
13276986;ENFERMERO/A;agosto
13276986;ENFERMERO/A;junio
13276986;ENFERMERO/A;julio
87484600;Evaluador Educacional;agosto
86646148;Evaluador Educacional;julio
86646148;Evaluador Educacional;junio
651729378;EVALUADOR I;julio
646370330;EVALUADOR I;agosto
651729378;EVALUADOR I;junio
40843551;EVALUADOR II;junio
40843551;EVALUADOR II;julio
45915999;EVALUADOR II;agosto
5493964;EVALUADOR III;julio
5493964;EVALUADOR III;junio
5493964;EVALUADOR III;agosto
2378500;Filosofia I;agosto
2378500;Filosofia I;junio
2378500;Filosofia I;julio
211878371;Filosofia Y Antrop. Social;agosto
212548371;Filosofia Y Antrop. Social;julio
212849871;Filosofia Y Antrop. Social;junio
21538220;FISCAL DE EDUCACION;agosto
21538220;FISCAL DE EDUCACION;julio
18138220;FISCAL DE EDUCACION;junio
22861585;FISCAL DE OBRAS;julio
22861585;FISCAL DE OBRAS;agosto
22861585;FISCAL DE OBRAS;junio
2144000;Física I;julio
2010000;Física I;agosto
2010000;Física I;junio
134000;Física II;agosto
134000;Física II;julio
134000;Física III;agosto
134000;Física III;julio
3316464;Fisioterapeuta;agosto
3316464;Fisioterapeuta;junio
3316464;Fisioterapeuta;julio
4974696;FOTOGRAFO/A;junio
4974696;FOTOGRAFO/A;agosto
4974696;FOTOGRAFO/A;julio
23623832;Fruticultura-silvicultura- horticultura;junio
23623832;Fruticultura-silvicultura- horticultura;julio
23623832;Fruticultura-silvicultura- horticultura;agosto
150750;GUIA DE MUSEO;julio
150750;GUIA DE MUSEO;agosto
150750;GUIA DE MUSEO;junio
753750;Historia y Geografia I;agosto
753750;Historia y Geografia I;julio
753750;Historia y Geografia I;junio
5192283;Instalaciones Electricas;julio
5192283;Instalaciones Electricas;agosto
5192283;Instalaciones Electricas;junio
7286294;Instalaciones Electricas (Dibujo Tecnico-Taller- Diseño, Proyecto y Presupuesto);agosto
6359054;Instalaciones Electricas (Dibujo Tecnico-Taller- Diseño, Proyecto y Presupuesto);junio
7286294;Instalaciones Electricas (Dibujo Tecnico-Taller- Diseño, Proyecto y Presupuesto);julio
2760810;Instalacion Industrial (Calculos Mecanicos);junio
2760810;Instalacion Industrial (Calculos Mecanicos);julio
2760810;Instalacion Industrial (Calculos Mecanicos);agosto
91934867;Instructor;junio
91934867;Instructor;julio
90276635;Instructor;agosto
8002087;Instructor de Electricidad;agosto
8002087;Instructor de Electricidad;junio
8002087;Instructor de Electricidad;julio
335533644;Instructor de Formación Docente;junio
333225744;Instructor de Formación Docente;agosto
333225744;Instructor de Formación Docente;julio
605968;Instructor de Formación Profesional (Familia Profesional: Informatica);agosto
605968;Instructor de Formación Profesional (Familia Profesional: Informatica);julio
605968;Instructor de Formación Profesional (Familia Profesional: Informatica);junio
78167408;Instructor de Formación Profesional Inicial (Familia Profesional: Artesanía);julio
78167408;Instructor de Formación Profesional Inicial (Familia Profesional: Artesanía);agosto
78167408;Instructor de Formación Profesional Inicial (Familia Profesional: Artesanía);junio
1658232;Instructor de Formación Profesional Inicial (Familia Profesional: Informática);agosto
31188176;INSTRUCTOR DE INGLES (ESCUELA DEL FUTURO);julio
31188176;INSTRUCTOR DE INGLES (ESCUELA DEL FUTURO);agosto
31188176;INSTRUCTOR DE INGLES (ESCUELA DEL FUTURO);junio
335140055;INSTRUCTOR LABORAL;agosto
335250876;INSTRUCTOR LABORAL;julio
336593073;INSTRUCTOR LABORAL;junio
181884526;Instructor Musical;julio
181884526;Instructor Musical;junio
181884526;Instructor Musical;agosto
17684036;INTENDENTE;junio
17684036;INTENDENTE;agosto
17684036;INTENDENTE;julio
180286910;Investigación Social y Estadística;julio
179683910;Investigación Social y Estadística;agosto
181174660;Investigación Social y Estadística;junio
5856756;JEFE DE CEREMONIAL Y PROTOCOLO;agosto
5856756;JEFE DE CEREMONIAL Y PROTOCOLO;julio
5856756;JEFE DE CEREMONIAL Y PROTOCOLO;junio
491070578;JEFE DE DEPARTAMENTO;junio
479584044;JEFE DE DEPARTAMENTO;agosto
486364644;JEFE DE DEPARTAMENTO;julio
32427694;Jefe de Disciplina;agosto
29362462;Jefe de Disciplina;junio
29362462;Jefe de Disciplina;julio
228948476;Jefe de Estudio y/o Profesor Guía;agosto
228948476;Jefe de Estudio y/o Profesor Guía;junio
230606708;Jefe de Estudio y/o Profesor Guía;julio
31280782;JEFE DE TALLER;agosto
31280782;JEFE DE TALLER;julio
31280782;JEFE DE TALLER;junio
4137214;JEFE MOVIM. PERS. (SUPERV);junio
4137214;JEFE MOVIM. PERS. (SUPERV);julio
4137214;JEFE MOVIM. PERS. (SUPERV);agosto
8401520;JUEZ ADMINISTRATIVO;agosto
8401520;JUEZ ADMINISTRATIVO;junio
8401520;JUEZ ADMINISTRATIVO;julio
5139354;Laboratorio de Electrotecnia (Electrotecnia-Laboratorio);junio
5588620;Laboratorio de Electrotecnia (Electrotecnia-Laboratorio);julio
5588620;Laboratorio de Electrotecnia (Electrotecnia-Laboratorio);agosto
2627093;Laboratorio y Tecnología;junio
2627093;Laboratorio y Tecnología;julio
2627093;Laboratorio y Tecnología;agosto
3237586;Laboratorio y Tecnología (Materiales y Tecnología de la Construcción y Laboratorio);junio
3237586;Laboratorio y Tecnología (Materiales y Tecnología de la Construcción y Laboratorio);julio
3237586;Laboratorio y Tecnología (Materiales y Tecnología de la Construcción y Laboratorio);agosto
4027537;Legislacion Amb.-evaluac. del Imp. Amb.;julio
4027537;Legislacion Amb.-evaluac. del Imp. Amb.;junio
4027537;Legislacion Amb.-evaluac. del Imp. Amb.;agosto
268000;Lengua Extranjera I;agosto
268000;Lengua Extranjera I;julio
268000;Lengua Extranjera I;junio
268000;Lengua Extranjera II;junio
268000;Lengua Extranjera II;agosto
268000;Lengua Extranjera II;julio
134000;Lengua Extranjera III;julio
134000;Lengua Extranjera III;agosto
134000;Lengua Extranjera III;junio
134000;Lengua Extranjera IV;julio
134000;Lengua Extranjera IV;agosto
134000;Lengua Extranjera IV;junio
2412000;Lengua y Literatura Castellana I;agosto
2412000;Lengua y Literatura Castellana I;junio
2412000;Lengua y Literatura Castellana I;julio
2227750;Lengua y Literatura Guarani I;agosto
2227750;Lengua y Literatura Guarani I;junio
2227750;Lengua y Literatura Guarani I;julio
1658250;Lógica Matemática;agosto
1507500;Lógica Matemática;junio
1658250;Lógica Matemática;julio
11256000;Lógica Matemática y Estadísticas;junio
11105250;Lógica Matemática y Estadísticas;julio
11105250;Lógica Matemática y Estadísticas;agosto
1474000;Maestra Parvularia;junio
1474000;Maestra Parvularia;agosto
1474000;Maestra Parvularia;julio
24873480;Maestro de Apoyo ó Maestro Integrador;agosto
16582320;Maestro de Apoyo ó Maestro Integrador;junio
21557016;Maestro de Apoyo ó Maestro Integrador;julio
392802199;Maestro de Grado;junio
384511039;Maestro de Grado;agosto
394460431;Maestro de Grado;julio
3316464;Maestro de Lengua 1º y 2º Ciclos;junio
3316464;Maestro de Lengua 1º y 2º Ciclos;julio
3316464;Maestro de Lengua 1º y 2º Ciclos;agosto
18240552;Maestro Integrador;junio
18240552;Maestro Integrador;julio
18240552;Maestro Integrador;agosto
3973410;Maquinarias,eq. E Implementos Agricolas;julio
3973410;Maquinarias,eq. E Implementos Agricolas;agosto
3973410;Maquinarias,eq. E Implementos Agricolas;junio
536000;Matemática I;agosto
536000;Matemática I;junio
536000;Matemática I;julio
21064996;MEDICO/A;agosto
21064996;MEDICO/A;julio
21064996;MEDICO/A;junio
3121565;MIEMBRO DEL COMITE;junio
3121565;MIEMBRO DEL COMITE;agosto
3121565;MIEMBRO DEL COMITE;julio
15213284;MIEMBRO DEL CONSEJO;junio
15213284;MIEMBRO DEL CONSEJO;agosto
15213284;MIEMBRO DEL CONSEJO;julio
3316464;MONITOR;agosto
3316464;MONITOR;junio
3316464;MONITOR;julio
150750;Musica I;agosto
26031165;ODONTOLOGO;junio
26031165;ODONTOLOGO;agosto
26031165;ODONTOLOGO;julio
25108867;OPERADOR DE COMPUTADORAS;agosto
25108867;OPERADOR DE COMPUTADORAS;julio
25108867;OPERADOR DE COMPUTADORAS;junio
333693611;Orientador;julio
337361313;Orientador;agosto
331374111;Orientador;junio
8134436;ORIENTADOR;junio
8134436;ORIENTADOR;julio
9710436;ORIENTADOR;agosto
60439878;ORIENTADOR EDUCACIONAL;junio
60439878;ORIENTADOR EDUCACIONAL;julio
64475878;ORIENTADOR EDUCACIONAL;agosto
2244482;Orientador Educacional y Vocacional;agosto
2244482;Orientador Educacional y Vocacional;julio
2244482;Orientador Educacional y Vocacional;junio
33807654;ORIENTADOR II;julio
33796524;ORIENTADOR II;agosto
33807654;ORIENTADOR II;junio
1658232;ORIENTADOR III;julio
1658232;ORIENTADOR III;junio
1658232;ORIENTADOR III;agosto
18056850;ORIENTADOR PEDAGOGICO;junio
18056850;ORIENTADOR PEDAGOGICO;julio
18056850;ORIENTADOR PEDAGOGICO;agosto
121145438;PERCEPTOR;julio
124461902;PERCEPTOR;junio
116738027;PERCEPTOR;agosto
402000;Política, Etica y Ciudadania I;agosto
402000;Política, Etica y Ciudadania I;julio
402000;Política, Etica y Ciudadania I;junio
3966132;PRODUCTOR DE TV;julio
3966132;PRODUCTOR DE TV;agosto
3966132;PRODUCTOR DE TV;junio
150750;PROFESIONAL II;agosto
150750;PROFESIONAL II;junio
150750;PROFESIONAL II;julio
84658943;PROFESOR;julio
96266567;PROFESOR;agosto
83000711;PROFESOR;junio
603000;Profesor Área Especial (Arte Elemental);julio
603000;Profesor Área Especial (Arte Elemental);agosto
603000;Profesor Área Especial (Arte Elemental);junio
102872361;PROFESOR AREA ESPECIAL I;agosto
101461154;PROFESOR AREA ESPECIAL I;junio
102115643;PROFESOR AREA ESPECIAL I;julio
1459674740;PROFESOR AREA ESPECIAL II;junio
1454261154;PROFESOR AREA ESPECIAL II;agosto
1456885494;PROFESOR AREA ESPECIAL II;julio
1658232;PROFESOR AREA ESPECIAL III;junio
1658232;PROFESOR AREA ESPECIAL III;agosto
1658232;PROFESOR AREA ESPECIAL III;julio
7522917;Profesor de Administración Familiar;julio
7522917;Profesor de Administración Familiar;agosto
7522917;Profesor de Administración Familiar;junio
1729579578;Profesor de Alfabetización (1º, 2º y 3º Ciclo EEB para Jóvenes y Adultos);agosto
1712584542;Profesor de Alfabetización (1º, 2º y 3º Ciclo EEB para Jóvenes y Adultos);junio
1703115231;Profesor de Alfabetización (1º, 2º y 3º Ciclo EEB para Jóvenes y Adultos);julio
39186660;Profesor de Alfabetización (4º Ciclo EEB para Jóvenes y Adultos);junio
41935839;Profesor de Alfabetización (4º Ciclo EEB para Jóvenes y Adultos);agosto
39186660;Profesor de Alfabetización (4º Ciclo EEB para Jóvenes y Adultos);julio
372922;Profesor de Áreas Especiales de Educación Especial;julio
372922;Profesor de Áreas Especiales de Educación Especial;junio
372922;Profesor de Áreas Especiales de Educación Especial;agosto
22762470;Profesor de Áreas Especiales - Educ. Artística, Educación Física, Trabajo y Tecnología;agosto
20882066;Profesor de Áreas Especiales - Educ. Artística, Educación Física, Trabajo y Tecnología;junio
20882066;Profesor de Áreas Especiales - Educ. Artística, Educación Física, Trabajo y Tecnología;julio
96451091;Profesor de Artes Industriales;agosto
100402091;Profesor de Artes Industriales;junio
100402091;Profesor de Artes Industriales;julio
43475899;Profesor de Corte y Confección;junio
43475899;Profesor de Corte y Confección;julio
43475899;Profesor de Corte y Confección;agosto
3886183;Profesor de Cosmetología;junio
3886183;Profesor de Cosmetología;agosto
3886183;Profesor de Cosmetología;julio
811806;Profesor de Educación para el Hogar;junio
811806;Profesor de Educación para el Hogar;agosto
811806;Profesor de Educación para el Hogar;julio
730724387;PROFESOR DE EDUC.ESPECIAL;junio
727052051;PROFESOR DE EDUC.ESPECIAL;agosto
728710283;PROFESOR DE EDUC.ESPECIAL;julio
11607624;Profesor de Grado (1º y 2º;julio
11607624;Profesor de Grado (1º y 2º;agosto
11607624;Profesor de Grado (1º y 2º;junio
90006354396;Profesor de Grado (1º y 2º ciclos);agosto
89900660394;Profesor de Grado (1º y 2º ciclos);junio
89815538215;Profesor de Grado (1º y 2º ciclos);julio
1215484056;Profesor de Grado (1º y 2º ciclos de la EEB);junio
1230575644;Profesor de Grado (1º y 2º ciclos de la EEB);agosto
1228749912;Profesor de Grado (1º y 2º ciclos de la EEB);julio
888545122;Profesor de Grado (Educación Inicial);julio
903469210;Profesor de Grado (Educación Inicial);agosto
876937498;Profesor de Grado (Educación Inicial);junio
53405094;Profesor de Jornada Completa de Formación Docente;julio
53405094;Profesor de Jornada Completa de Formación Docente;agosto
53405094;Profesor de Jornada Completa de Formación Docente;junio
1658232;Profesor de Macroeconomía;julio
1658232;Profesor de Macroeconomía;agosto
1658232;Profesor de Macroeconomía;junio
10444709;Profesor de Manicura - Pedicuro;agosto
10444709;Profesor de Manicura - Pedicuro;junio
10444709;Profesor de Manicura - Pedicuro;julio
110749971;Profesor de Manualidades;junio
107077635;Profesor de Manualidades;agosto
110749971;Profesor de Manualidades;julio
9981160;Profesor de Media Jornada y Jornada Completa (Educación Media);julio
9981160;Profesor de Media Jornada y Jornada Completa (Educación Media);junio
9981160;Profesor de Media Jornada y Jornada Completa (Educación Media);agosto
3316464;Profesor de Media Jornada y Jornada Completa (Formación Docente);agosto
3316464;Profesor de Media Jornada y Jornada Completa (Formación Docente);julio
3316464;Profesor de Media Jornada y Jornada Completa (Formación Docente);junio
3155049;Profesor de Pintura Artesanal;agosto
3155049;Profesor de Pintura Artesanal;julio
3155049;Profesor de Pintura Artesanal;junio
28189944;Profesor de Pre-Escolar;junio
28189944;Profesor de Pre-Escolar;julio
24873480;Profesor de Pre-Escolar;agosto
143429587;Profesor Guia;agosto
108651547;Profesor Guia;junio
119594499;Profesor Guia;julio
84322149;PROFESOR GUIA I;julio
80634787;PROFESOR GUIA I;junio
79347453;PROFESOR GUIA I;agosto
38139336;PROFESOR GUIA II;junio
41455800;PROFESOR GUIA II;agosto
41455800;PROFESOR GUIA II;julio
910316705;PROFESOR GUIA III;julio
904251062;PROFESOR GUIA III;agosto
913633169;PROFESOR GUIA III;junio
399913200;PROFESOR M.J. I;julio
397743600;PROFESOR M.J. I;agosto
401741500;PROFESOR M.J. I;junio
314384304;PROFESOR M.J. II;agosto
296919828;PROFESOR M.J. II;junio
302046404;PROFESOR M.J. II;julio
2769326736;PROFESOR M.J. III;julio
2754310880;PROFESOR M.J. III;agosto
2777764412;PROFESOR M.J. III;junio
102314486;PROFESOR POR AREA I;julio
102314486;PROFESOR POR AREA I;junio
98998022;PROFESOR POR AREA I;agosto
12217992;PROFESOR POR AREA II;agosto
10559760;PROFESOR POR AREA II;julio
10559760;PROFESOR POR AREA II;junio
50085978;Profesor por Área III;junio
48790521;Profesor por Área III;agosto
50085978;Profesor por Área III;julio
130719141;PROFESOR T.C. I;junio
134188541;PROFESOR T.C. I;julio
134188541;PROFESOR T.C. I;agosto
39252788;PROFESOR T.C. II;julio
41228288;PROFESOR T.C. II;junio
43203788;PROFESOR T.C. II;agosto
8583908;Proyecto y Dibujo Técnico;junio
8583908;Proyecto y Dibujo Técnico;julio
8583908;Proyecto y Dibujo Técnico;agosto
7177200;Psicología I;agosto
7177200;Psicología I;julio
7177200;Psicología I;junio
45097066;PSICOLOGO;junio
46755298;PSICOLOGO;agosto
45097066;PSICOLOGO;julio
3499798;Psicólogo Educacional;agosto
3499798;Psicólogo Educacional;junio
3499798;Psicólogo Educacional;julio
34055989;PSICOLOGO I;junio
34055989;PSICOLOGO I;julio
34055989;PSICOLOGO I;agosto
18623007;PSICOLOGO II;agosto
16922280;PSICOLOGO II;junio
18623007;PSICOLOGO II;julio
145155736;PSICOLOGO III;agosto
145155736;PSICOLOGO III;junio
145155736;PSICOLOGO III;julio
14345828;PSICOPEDAGOGO;junio
14345828;PSICOPEDAGOGO;agosto
14345828;PSICOPEDAGOGO;julio
4505750;Quimica I;agosto
4070250;Quimica I;junio
4505750;Quimica I;julio
150750;Química(Laboratorio);junio
150750;Química(Laboratorio);agosto
150750;Química(Laboratorio);julio
13093936;Salud Publica y Comunitaria;agosto
13093936;Salud Publica y Comunitaria;julio
13093936;Salud Publica y Comunitaria;junio
326065619;SECRETARIO/A;junio
341252199;SECRETARIO/A;julio
358884219;SECRETARIO/A;agosto
9766368;SECRETARIO/A II;julio
9766368;SECRETARIO/A II;junio
9766368;SECRETARIO/A II;agosto
355872;SECRETARIO/A III;agosto
355872;SECRETARIO/A III;junio
355872;SECRETARIO/A III;julio
6337128;SECRETARIO/A PRIVADO/ A;julio
11144342;SECRETARIO/A PRIVADO/ A;junio
6337128;SECRETARIO/A PRIVADO/ A;agosto
95770572;SECRETARIO GENERAL;julio
90643376;SECRETARIO GENERAL;agosto
102403500;SECRETARIO GENERAL;junio
391134746;SECRETARIO I;julio
395422764;SECRETARIO I;junio
384501818;SECRETARIO I;agosto
13588536;SERENO;junio
13588536;SERENO;agosto
13588536;SERENO;julio
488446858;SUPERVISOR;junio
482186048;SUPERVISOR;julio
471140316;SUPERVISOR;agosto
412332568;SUPERVISOR II;agosto
412332568;SUPERVISOR II;julio
415937568;SUPERVISOR II;junio
1210509;Taller de Mecánica (Taller de Mecánica y Seguridad e Higiene);junio
1210509;Taller de Mecánica (Taller de Mecánica y Seguridad e Higiene);julio
1210509;Taller de Mecánica (Taller de Mecánica y Seguridad e Higiene);agosto
6567591;Taller E Instalaciones;julio
6567591;Taller E Instalaciones;junio
6567591;Taller E Instalaciones;agosto
276081;Taller Mecanico;julio
276081;Taller Mecanico;agosto
276081;Taller Mecanico;junio
134000;Teatro I;julio
134000;Teatro I;junio
134000;Teatro I;agosto
1535918506;TECNICO;junio
1582154309;TECNICO;julio
1595737176;TECNICO;agosto
124420883;TECNICO AREA INFORMATICA;agosto
118407651;TECNICO AREA INFORMATICA;julio
118407651;TECNICO AREA INFORMATICA;junio
153158896;TECNICO DE UDES;junio
146401932;TECNICO DE UDES;agosto
153158896;TECNICO DE UDES;julio
33186934;TECNICO EDUCACION ESPECIAL;julio
33186934;TECNICO EDUCACION ESPECIAL;junio
33186934;TECNICO EDUCACION ESPECIAL;agosto
200729324;TECNICO EDUCACION INICIAL;junio
200729324;TECNICO EDUCACION INICIAL;agosto
200729324;TECNICO EDUCACION INICIAL;julio
186349795;TECNICO EDUCACION MEDIA;junio
183033331;TECNICO EDUCACION MEDIA;julio
183033331;TECNICO EDUCACION MEDIA;agosto
359207312;TECNICO E.E.B. 1º Y 2º CICLO;agosto
359207312;TECNICO E.E.B. 1º Y 2º CICLO;julio
363553759;TECNICO E.E.B. 1º Y 2º CICLO;junio
157152977;TECNICO E.E.B. 3er CICLO;julio
163969441;TECNICO E.E.B. 3er CICLO;junio
155863209;TECNICO E.E.B. 3er CICLO;agosto
84750716;TECNICO EJA;junio
84750716;TECNICO EJA;agosto
84750716;TECNICO EJA;julio
2485335074;TECNICO I;junio
2540330037;TECNICO I;agosto
2518199113;TECNICO I;julio
6342264;TECNICO II;julio
9700496;TECNICO II;junio
6342264;TECNICO II;agosto
1658232;TECNICO LENGUA MATERNA INDIGENA;agosto
1658232;TECNICO LENGUA MATERNA INDIGENA;julio
1658232;TECNICO LENGUA MATERNA INDIGENA;junio
1689011946;TECNICO PEDAGOGICO;julio
1695691988;TECNICO PEDAGOGICO;junio
1707907695;TECNICO PEDAGOGICO;agosto
3316464;TECNICO PROY. ESCUELA VIVA;julio
3316464;TECNICO PROY. ESCUELA VIVA;junio
3316464;TECNICO PROY. ESCUELA VIVA;agosto
3391625;Tecnología y Analisis de Alimentos (Tecnología Alimentaria y Bromatología);junio
3391625;Tecnología y Analisis de Alimentos (Tecnología Alimentaria y Bromatología);agosto
